sn,FID,agf,plotID,transect,County,genus,species,dbh,height,canopyd,latitude,longitude,altitude,accuracy
784,6268,cropland_agroforestry,173,1,Nyamira,Musa,acuminata,20,210,100,-0.6691276,35.0598112,1815.3,3.35
785,6293,cropland_agroforestry,173,1,Nyamira,Musa,acuminata,40,430,100,-0.6691246,35.0601335,1816.1,4.875
786,6197,cropland_agroforestry,173,1,Nyamira,Musa,acuminata,40,400,220,-0.6691173,35.0600683,1815.7,3.45
787,6201,cropland_agroforestry,173,1,Nyamira,Musa,acuminata,50,500,150,-0.669115,35.0599833,1806.4,4.8
788,6261,cropland_agroforestry,173,1,Nyamira,Musa,acuminata,40,300,100,-0.669115,35.0601118,1815.3,2.48
789,6264,cropland_agroforestry,173,1,Nyamira,Musa,acuminata,40,400,100,-0.6691076,35.0600087,1816.9,4.85
790,6260,cropland_agroforestry,173,1,Nyamira,Musa,acuminata,40,300,100,-0.6691017,35.0601117,1815.1,3.9
791,6714,cropland_agroforestry,173,1,Nyamira,Grevillea,robusta,36,1200,400,-0.6690924,35.0590817,1805.2,3.75
792,6199,cropland_agroforestry,173,1,Nyamira,Musa,acuminata,55,550,250,-0.6690915,35.0599864,1819.6,4.95
793,6265,cropland_agroforestry,173,1,Nyamira,Musa,acuminata,50,550,100,-0.6690773,35.059937,1817.2,3.28
794,6266,cropland_agroforestry,173,1,Nyamira,Musa,acuminata,40,500,100,-0.6690606,35.0598823,1812.9,3.35
795,6200,cropland_agroforestry,173,1,Nyamira,Musa,acuminata,50,530,150,-0.66906,35.059825,1822,4.6
796,6198,cropland_agroforestry,173,1,Nyamira,Musa,acuminata,50,450,200,-0.6690593,35.0600986,1817.4,2.96
797,6262,cropland_agroforestry,173,1,Nyamira,Musa,acuminata,40,250,100,-0.6690583,35.06004,1812.3,4.7
798,6715,cropland_agroforestry,173,1,Nyamira,Grevillea,robusta,18,900,150,-0.6690517,35.0591583,1806.4,3.5
